,AccountOwnerId,Account Name,ServiceAdministratorId,SubscriptionId,SubscriptionGuid,Subscription Name,Date,Month,Day,Year,Product,Meter ID,Meter Category,Meter Sub-Category,Meter Region,Meter Name,Consumed Quantity,ResourceRate,ExtendedCost,Resource Location,Consumed Service,Instance ID,ServiceInfo1,ServiceInfo2,AdditionalInfo,Tags,Store Service Identifier,Department Name,Cost Center,Unit Of Measure,Resource Group,Charges Billed Separately
107914,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/28/2019,11,28,2019,Tables - LRS Data Stored,3f2b1e1c-c886-4ec6-ad6f-dd0ef38819c9,Storage,Tables,,LRS Data Stored,0.000192,0.36509477815015995,7.0098197405e-05,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,100 GB/Month,worleyparsonsrnd-00,False
108016,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/27/2019,11,27,2019,Files - Read Operations,761abab8-259d-4206-a6ae-707ed03fc540,Storage,Files,,Read Operations,0.2068,0.012169223241601999,0.0025165953663629998,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,10000000,worleyparsonsrnd-00,False
108786,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/28/2019,11,28,2019,Tiered Block Blob - Hot LRS - Write Operations - US South Central,8fde27a4-f37c-4af2-ab00-f53eac8f1925,Storage,Tiered Block Blob,US South Central,Hot LRS Write Operations,0.1001,0.404232552609678,0.04046367851622899,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,1000000,worleyparsonsrnd-00,False
108807,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/28/2019,11,28,2019,Tiered Block Blob - Hot - Read Operations - US South Central,f4e889a2-6224-46c8-ac42-40a209df8c12,Storage,Tiered Block Blob,US South Central,Hot Read Operations,0.1032,0.03220404482803,0.0033234574262529996,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,1000000,worleyparsonsrnd-00,False
109427,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/27/2019,11,27,2019,Tables - Batch Write Operations,b9e5e77c-a0b3-4a2c-9b8b-57fa54f31c52,Storage,Tables,,Batch Write Operations,0.0158,0.0029169318062559997,4.6087522539e-05,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,100000000,worleyparsonsrnd-00,False
109936,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/28/2019,11,28,2019,Bandwidth - Data Transfer In - Zone 1,32c3ebec-1646-49e3-8127-2cafbd3a04d8,Bandwidth,,Zone 1,Data Transfer In,0.29049,0.0,0.0,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,10 GB,worleyparsonsrnd-00,False
109982,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/28/2019,11,28,2019,Functions - Total Executions,4e5cd9e2-c20f-4d7f-acbe-58931b8b49ef,Functions,,,Total Executions,57.0,1.4179846249000002e-05,0.000808251236176,SouthCentralUS,Microsoft.Web,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourcegroups/worleyparsonsrnd-00/providers/microsoft.web/sites/pidparsestoragewrapper,,,"{  ""AppServicePlanUri"": ""/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourcegroups/worleyparsonsrnd-00/providers/microsoft.web/serverfarms/pidparsestoragewrapperplan""}",,,Unassigned,,5000000,worleyparsonsrnd-00,False
110040,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/27/2019,11,27,2019,General Block Blob - List and Create Container Operations,f8c187bb-5a47-46ae-b874-f186d207fff4,Storage,General Block Blob,,List and Create Container Operations,0.0022,0.002888316758711,6.354296869e-06,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,100000000,worleyparsonsrnd-00,False
110195,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/29/2019,11,29,2019,Tables - LRS Data Stored,3f2b1e1c-c886-4ec6-ad6f-dd0ef38819c9,Storage,Tables,,LRS Data Stored,0.000192,0.36509477815015995,7.0098197405e-05,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,100 GB/Month,worleyparsonsrnd-00,False
110197,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/29/2019,11,29,2019,Azure App Service Free Plan - F1,c0f5cb45-6fb1-41c9-8545-72ad400d9da4,Azure App Service,Free Plan,,F1,0.064512,0.0,0.0,SouthCentralUS,Microsoft.Web,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourcegroups/worleyparsonsrnd-00/providers/microsoft.web/sites/pidparsestoragewrapper,,,"{  ""AppServicePlanUri"": ""/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourcegroups/worleyparsonsrnd-00/providers/microsoft.web/serverfarms/pidparsestoragewrapperplan""}",,,Unassigned,,1 Hour,worleyparsonsrnd-00,False
110918,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/28/2019,11,28,2019,Functions - Execution Time,2a384075-01d7-4f66-a84a-0eed3ca58876,Functions,,,Execution Time,171.948125,6.4916486087e-05,0.011162268064275,SouthCentralUS,Microsoft.Web,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourcegroups/worleyparsonsrnd-00/providers/microsoft.web/sites/pidparsestoragewrapper,,,"{  ""AppServicePlanUri"": ""/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourcegroups/worleyparsonsrnd-00/providers/microsoft.web/serverfarms/pidparsestoragewrapperplan""}",,,Unassigned,,50000 GB Seconds,worleyparsonsrnd-00,False
111106,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/30/2019,11,30,2019,Functions - Execution Time,2a384075-01d7-4f66-a84a-0eed3ca58876,Functions,,,Execution Time,57.018875,6.4916486087e-05,0.003701465005643,SouthCentralUS,Microsoft.Web,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourcegroups/worleyparsonsrnd-00/providers/microsoft.web/sites/pidparsestoragewrapper,,,"{  ""AppServicePlanUri"": ""/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourcegroups/worleyparsonsrnd-00/providers/microsoft.web/serverfarms/pidparsestoragewrapperplan""}",,,Unassigned,,50000 GB Seconds,worleyparsonsrnd-00,False
111127,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/30/2019,11,30,2019,Tiered Block Blob - Hot - Read Operations - US South Central,f4e889a2-6224-46c8-ac42-40a209df8c12,Storage,Tiered Block Blob,US South Central,Hot Read Operations,0.0338,0.03220404482803,0.0010884967151870001,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,1000000,worleyparsonsrnd-00,False
111563,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/29/2019,11,29,2019,Functions - Total Executions,4e5cd9e2-c20f-4d7f-acbe-58931b8b49ef,Functions,,,Total Executions,57.0,1.4179846249000002e-05,0.000808251236176,SouthCentralUS,Microsoft.Web,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourcegroups/worleyparsonsrnd-00/providers/microsoft.web/sites/pidparsestoragewrapper,,,"{  ""AppServicePlanUri"": ""/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourcegroups/worleyparsonsrnd-00/providers/microsoft.web/serverfarms/pidparsestoragewrapperplan""}",,,Unassigned,,5000000,worleyparsonsrnd-00,False
111597,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/29/2019,11,29,2019,Tiered Block Blob - All Other Operations - US South Central,2029d7c3-b78c-44a8-ba9e-4ae3ed6e372e,Storage,Tiered Block Blob,US South Central,All Other Operations,0.1233,0.032315596570456,0.003984513057137,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,1000000,worleyparsonsrnd-00,False
111679,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/28/2019,11,28,2019,Tables - LRS Data Stored,3f2b1e1c-c886-4ec6-ad6f-dd0ef38819c9,Storage,Tables,,LRS Data Stored,0.0033299999999999996,0.36509477815015995,0.00121576561124,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,100 GB/Month,worleyparsonsrnd-00,False
111954,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/30/2019,11,30,2019,Files - Read Operations,761abab8-259d-4206-a6ae-707ed03fc540,Storage,Files,,Read Operations,0.1341,0.012169223241601999,0.0016318928366989998,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,10000000,worleyparsonsrnd-00,False
112197,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/28/2019,11,28,2019,Tiered Block Blob - All Other Operations - US South Central,2029d7c3-b78c-44a8-ba9e-4ae3ed6e372e,Storage,Tiered Block Blob,US South Central,All Other Operations,0.141,0.032315596570456,0.004556499116434,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,1000000,worleyparsonsrnd-00,False
112791,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/29/2019,11,29,2019,Tiered Block Blob - Hot LRS - Data Stored - US South Central,b40c3368-de55-4653-b7fd-5d3faca0b1df,Storage,Tiered Block Blob,US South Central,Hot LRS Data Stored,0.5133810000000001,0.13660621394856698,0.070131034723129,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,100 GB/Month,worleyparsonsrnd-00,False
113635,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/28/2019,11,28,2019,Files - LRS Data Stored,ed8a651a-e0a3-4de6-a8ae-3b4ce8cb72cf,Storage,Files,,LRS Data Stored,0.000576,0.48626173370001,0.000280086758611,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,100 GB/Month,worleyparsonsrnd-00,False
114108,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/30/2019,11,30,2019,General Block Blob - Write Operations,211e620c-ebcf-4db5-a7fd-996abebe9546,Storage,General Block Blob,,Write Operations,0.0027,0.00291847671063,7.879887119e-06,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,100000000,worleyparsonsrnd-00,False
114119,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/30/2019,11,30,2019,Tables - LRS Data Stored,3f2b1e1c-c886-4ec6-ad6f-dd0ef38819c9,Storage,Tables,,LRS Data Stored,0.000192,0.36509477815015995,7.0098197405e-05,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,100 GB/Month,worleyparsonsrnd-00,False
114140,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/29/2019,11,29,2019,Bandwidth - Data Transfer Out - Zone 1,9995d93a-7d35-4d3f-9c69-7a7fea447ef4,Bandwidth,,Zone 1,Data Transfer Out,0.963976,0.705336192069508,0.679927161086396,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,10 GB,worleyparsonsrnd-00,False
114758,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/27/2019,11,27,2019,Bandwidth - Data Transfer Out - Zone 1,9995d93a-7d35-4d3f-9c69-7a7fea447ef4,Bandwidth,,Zone 1,Data Transfer Out,2.843941,0.705336192069508,2.005934515410349,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,10 GB,worleyparsonsrnd-00,False
114762,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/27/2019,11,27,2019,Tiered Block Blob - Hot LRS - Write Operations - US South Central,8fde27a4-f37c-4af2-ab00-f53eac8f1925,Storage,Tiered Block Blob,US South Central,Hot LRS Write Operations,0.1139,0.404232552609678,0.046042087742242,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,1000000,worleyparsonsrnd-00,False
114803,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/27/2019,11,27,2019,Tiered Block Blob - All Other Operations - US South Central,2029d7c3-b78c-44a8-ba9e-4ae3ed6e372e,Storage,Tiered Block Blob,US South Central,All Other Operations,0.1543,0.032315596570456,0.004986296550821,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,1000000,worleyparsonsrnd-00,False
114833,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/30/2019,11,30,2019,Bandwidth - Data Transfer Out - Zone 1,9995d93a-7d35-4d3f-9c69-7a7fea447ef4,Bandwidth,,Zone 1,Data Transfer Out,0.733522,0.705336192069508,0.5173796142792101,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,10 GB,worleyparsonsrnd-00,False
115508,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/27/2019,11,27,2019,Azure App Service Free Plan - F1,c0f5cb45-6fb1-41c9-8545-72ad400d9da4,Azure App Service,Free Plan,,F1,0.064512,0.0,0.0,SouthCentralUS,Microsoft.Web,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourcegroups/worleyparsonsrnd-00/providers/microsoft.web/sites/pidparsestoragewrapper,,,"{  ""AppServicePlanUri"": ""/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourcegroups/worleyparsonsrnd-00/providers/microsoft.web/serverfarms/pidparsestoragewrapperplan""}",,,Unassigned,,1 Hour,worleyparsonsrnd-00,False
115630,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/27/2019,11,27,2019,Tiered Block Blob - Hot - Read Operations - US South Central,f4e889a2-6224-46c8-ac42-40a209df8c12,Storage,Tiered Block Blob,US South Central,Hot Read Operations,0.1299,0.03220404482803,0.004183305423161,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,1000000,worleyparsonsrnd-00,False
115767,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/29/2019,11,29,2019,IP Addresses - Basic - Dynamic Public IP,f114cb19-ea64-40b5-bcd7-aee474b62853,Virtual Network,IP Addresses,,Dynamic Public IP,23.0,0.032449814990258,0.7463457447759331,SouthCentralUS,Microsoft.Network,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Network/publicIPAddresses/pidparse-prdip-address,,,,,,Unassigned,,200 Hours,worleyparsonsrnd-00,False
115777,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/29/2019,11,29,2019,Tiered Block Blob - Hot LRS - Write Operations - US South Central,8fde27a4-f37c-4af2-ab00-f53eac8f1925,Storage,Tiered Block Blob,US South Central,Hot LRS Write Operations,0.0697,0.404232552609678,0.028175008916895,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,1000000,worleyparsonsrnd-00,False
116145,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/29/2019,11,29,2019,Tiered Block Blob - Hot - Read Operations - US South Central,f4e889a2-6224-46c8-ac42-40a209df8c12,Storage,Tiered Block Blob,US South Central,Hot Read Operations,0.051,0.03220404482803,0.0016424062862299999,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,1000000,worleyparsonsrnd-00,False
116425,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/29/2019,11,29,2019,Files - Read Operations,761abab8-259d-4206-a6ae-707ed03fc540,Storage,Files,,Read Operations,0.2735,0.012169223241601999,0.003328282556578,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,10000000,worleyparsonsrnd-00,False
116988,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/28/2019,11,28,2019,General Block Blob - Write Operations,211e620c-ebcf-4db5-a7fd-996abebe9546,Storage,General Block Blob,,Write Operations,0.0027,0.00291847671063,7.879887119e-06,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,100000000,worleyparsonsrnd-00,False
117298,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/29/2019,11,29,2019,Files - LRS - Write Operations,f90f81d2-238a-49d0-9f1b-9df13a859843,Storage,Files,,LRS Write Operations,0.1382,0.121701140403635,0.016819097603781998,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,10000000,worleyparsonsrnd-00,False
118101,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/29/2019,11,29,2019,General Block Blob - Write Operations,211e620c-ebcf-4db5-a7fd-996abebe9546,Storage,General Block Blob,,Write Operations,0.003,0.00291847671063,8.755430132000001e-06,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,100000000,worleyparsonsrnd-00,False
118250,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/28/2019,11,28,2019,Files - Protocol Operations,6a99015c-d33f-4f46-ae59-2e4d14091aa8,Storage,Files,,Protocol Operations,0.1916,0.012168499217229,0.002331484450021,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,10000000,worleyparsonsrnd-00,False
118805,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/28/2019,11,28,2019,General Block Blob - List and Create Container Operations,f8c187bb-5a47-46ae-b874-f186d207fff4,Storage,General Block Blob,,List and Create Container Operations,0.0024,0.002888316758711,6.9319602209999995e-06,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,100000000,worleyparsonsrnd-00,False
118976,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/29/2019,11,29,2019,Bandwidth - Data Transfer Out - Zone 1,9995d93a-7d35-4d3f-9c69-7a7fea447ef4,Bandwidth,,Zone 1,Data Transfer Out,0.001041,0.705336192069508,0.0007342549759439999,SouthCentralUS,Microsoft.Web,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourcegroups/worleyparsonsrnd-00/providers/microsoft.web/sites/pidparsestoragewrapper,,,"{  ""AppServicePlanUri"": ""/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourcegroups/worleyparsonsrnd-00/providers/microsoft.web/serverfarms/pidparsestoragewrapperplan""}",,,Unassigned,,10 GB,worleyparsonsrnd-00,False
119216,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/30/2019,11,30,2019,Tiered Block Blob - Hot LRS - Write Operations - US South Central,8fde27a4-f37c-4af2-ab00-f53eac8f1925,Storage,Tiered Block Blob,US South Central,Hot LRS Write Operations,0.0534,0.404232552609678,0.021586018309357,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,1000000,worleyparsonsrnd-00,False
119810,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/27/2019,11,27,2019,Files - LRS - Write Operations,f90f81d2-238a-49d0-9f1b-9df13a859843,Storage,Files,,LRS Write Operations,0.1345,0.121701140403635,0.016368803384288998,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,10000000,worleyparsonsrnd-00,False
